genes	Symbol	logFC	logCPM	LR	PValue	FDR	threshold
RNF149	ENSG00000163162	RNF149	2.46826350388142	8.28398522522838	95.2863243990473	1.6474732097854e-22	2.11194156049598e-20	TRUE
IRAK2	ENSG00000134070	IRAK2	3.31876797604804	8.14837596458672	93.5959232713966	3.86983861857564e-22	4.90179558352914e-20	TRUE
DENND5A	ENSG00000184014	DENND5A	2.92426808438622	9.03603124656146	93.0188272667889	5.17992342724006e-22	6.48404532539226e-20	TRUE
TNFAIP6	ENSG00000123610	TNFAIP6	3.11006122528371	7.63558143773651	92.9514711589732	5.35924503526803e-22	6.62987413233181e-20	TRUE
ADGRE2	ENSG00000127507	ADGRE2	2.45340667269998	7.75997489821123	92.9287798219829	5.42104369842921e-22	6.62987413233181e-20	TRUE
HSPA6	ENSG00000173110	HSPA6	3.07396982700419	8.13302620037081	92.1270580827572	8.12863187957343e-22	9.82825490893878e-20	TRUE
DDIT4	ENSG00000168209	DDIT4	2.89101194086897	8.31167929945201	91.7939823298413	9.61865149746678e-22	1.14991519025895e-19	TRUE
SLC6A6	ENSG00000131389	SLC6A6	2.8008432845262	8.74041504642859	91.4835178071648	1.1252554825777e-21	1.32062679076753e-19	TRUE
CXCR4	ENSG00000121966	CXCR4	2.98005621953162	9.75209729085306	91.4760966676684	1.12948343947223e-21	1.32062679076753e-19	TRUE
ERO1A	ENSG00000197930	ERO1A	2.3396567449266	8.0556629588211	91.3620001029922	1.19652287656499e-21	1.3838047181143e-19	TRUE
ZNF292	ENSG00000188994	ZNF292	2.48101139616823	8.60677646570456	91.3036235851343	1.23234757117185e-21	1.40991162981382e-19	TRUE
IER3	ENSG00000137331	IER3	2.69417704804713	8.2894846510796	91.2083021789222	1.29316545994845e-21	1.46375324402676e-19	TRUE
HK2	ENSG00000159399	HK2	2.83628237636833	8.62819061588082	90.0878219429569	2.27819677396291e-21	2.55158038683846e-19	TRUE
NADK	ENSG00000008130	NADK	2.4780571473031	8.35983443277677	89.8684258364724	2.54536931499125e-21	2.82111765744864e-19	TRUE
HIP1	ENSG00000127946	HIP1	2.53992216450387	7.73066146499862	89.6435138225186	2.8518222912499e-21	3.12818445143288e-19	TRUE
IER5	ENSG00000162783	IER5	2.57102880763191	7.71600964407374	89.4512148353317	3.1429400068433e-21	3.41233486457272e-19	TRUE
MBOAT7	ENSG00000125505	MBOAT7	2.69074688394636	8.13673664196203	89.0284012827349	3.89184789941826e-21	4.18275370200104e-19	TRUE
B4GALT5	ENSG00000158470	B4GALT5	2.15200773858984	7.40105278814133	88.9572948631778	4.03428177658438e-21	4.29247581028578e-19	TRUE
CLEC4E	ENSG00000166523	CLEC4E	2.65868703781456	7.39014760386476	88.6846646163198	4.63040978593775e-21	4.87797624974037e-19	TRUE
CHI3L1	ENSG00000133048	CHI3L1	3.06121610212049	7.9668516369584	88.5288946182559	5.00977277944587e-21	5.22588062483373e-19	TRUE
DGAT2	ENSG00000062282	DGAT2	3.0087542815924	7.51200793073979	88.0346534511177	6.43177326534416e-21	6.64408422750115e-19	TRUE
ANPEP	ENSG00000166825	ANPEP	2.49229496886226	7.65844784967402	87.8521494302292	7.05345491134503e-21	7.21622694776069e-19	TRUE
TNFRSF1B	ENSG00000028137	TNFRSF1B	3.06922958469184	10.2712333465431	87.8029670970014	7.23103858222146e-21	7.32745242998441e-19	TRUE
VASP	ENSG00000125753	VASP	2.63504697738561	8.92104916582043	87.5867960046996	8.06613240166607e-21	8.05417237373618e-19	TRUE
ZNF267	ENSG00000185947	ZNF267	2.15176882633311	7.62737529664174	87.5786086422546	8.09959063900161e-21	8.05417237373618e-19	TRUE
GADD45B	ENSG00000099860	GADD45B	3.00569948620442	7.85534731466198	87.3597669254577	9.04722654991126e-21	8.88607405832955e-19	TRUE
TLR2	ENSG00000137462	TLR2	2.57628483502462	8.99075142175333	87.3475647990087	9.10321496576994e-21	8.88607405832955e-19	TRUE
VAV1	ENSG00000141968	VAV1	2.46728722880616	8.40252685860391	86.9795024548099	1.09651742353406e-20	1.06063139876386e-18	TRUE
IL1R2	ENSG00000115590	IL1R2	2.91140522495424	7.56258931845303	86.8494498025566	1.1710460015246e-20	1.12251616722719e-18	TRUE
GRINA	ENSG00000178719	GRINA	2.58799974552358	8.68968788224171	86.8164006620897	1.19077944781126e-20	1.1312404754207e-18	TRUE
LILRA5	ENSG00000187116	LILRA5	2.38061720467138	7.63698072122961	86.6171362993655	1.31701014013661e-20	1.24008742398703e-18	TRUE
FMNL1	ENSG00000184922	FMNL1	2.47662078938831	8.76294749620107	86.3168470888216	1.53297017811362e-20	1.43077216623938e-18	TRUE
EFHD2	ENSG00000142634	EFHD2	2.35952546221811	8.45226205532792	86.2314196186993	1.60064250004209e-20	1.48094227829981e-18	TRUE
RNU1-2	ENSG00000207005	RNU1-2	2.92136387530394	8.70895269450422	86.1503951642691	1.66758595454237e-20	1.52957884106301e-18	TRUE
ADGRE1	ENSG00000174837	ADGRE1	2.70902334224133	7.68526484574066	85.8398737101978	1.95111985987459e-20	1.77435173581758e-18	TRUE
PIM3	ENSG00000198355	PIM3	2.596383508156	7.95252487794172	85.7426890217055	2.04940549071037e-20	1.84793851026766e-18	TRUE
PLK3	ENSG00000173846	PLK3	2.64612832310107	7.5581371338972	85.6039361134978	2.19837421355633e-20	1.96560517917978e-18	TRUE
VEGFA	ENSG00000112715	VEGFA	3.07907963543093	9.19455988498647	85.47600332488	2.34530566586813e-20	2.07950435706974e-18	TRUE
ALPK1	ENSG00000073331	ALPK1	2.21391264240082	7.59496854377459	85.1857355495747	2.71614271992678e-20	2.38840979669594e-18	TRUE
TNFAIP2	ENSG00000185215	TNFAIP2	2.92000473645463	9.3887108310233	85.0162013253662	2.95930310710047e-20	2.58090041471713e-18	TRUE
DSE	ENSG00000111817	DSE	2.35183878499214	8.55195216114745	84.993005572606	2.99422394849478e-20	2.59012543186865e-18	TRUE
CHST15	ENSG00000182022	CHST15	2.50631542995894	8.41367476581644	84.8225604073411	3.26378972787192e-20	2.80054215359333e-18	TRUE
HSPA1B	ENSG00000204388	HSPA1B	4.21952600081557	9.72232295396583	84.6568340961454	3.54915021987411e-20	3.02103666715684e-18	TRUE
SLC12A6	ENSG00000140199	SLC12A6	2.44702980028346	8.36316962401871	84.1314444577706	4.62948671820846e-20	3.90934433982048e-18	TRUE
GRAMD1A	ENSG00000089351	GRAMD1A	2.55151876048096	7.96917158576289	84.0897700846676	4.72810910309347e-20	3.96118746904839e-18	TRUE
NINJ1	ENSG00000131669	NINJ1	2.65050815488911	8.6627811275303	84.0154604188979	4.90920634955026e-20	4.08077777806365e-18	TRUE
RNVU1-18	ENSG00000206737	RNVU1-18	2.90351953920135	8.69642880645489	83.938820083921	5.10325464266397e-20	4.20919607736005e-18	TRUE
STX3	ENSG00000166900	STX3	2.21884055019325	7.27109743914844	83.1111089371718	7.75685429587561e-20	6.33511657501518e-18	TRUE
LUCAT1	ENSG00000248323	LUCAT1	2.8899232331958	7.6633015909254	83.1001911551652	7.79981458014087e-20	6.33511657501518e-18	TRUE
IGF2R	ENSG00000197081	IGF2R	2.66485888059165	9.24499851175882	83.0555334134483	7.97802981648519e-20	6.43077554904564e-18	TRUE
SCARF1	ENSG00000074660	SCARF1	2.63074359571477	7.63508178835728	83.038767494259	8.0459840908912e-20	6.43678727271296e-18	TRUE
PCNX1	ENSG00000100731	PCNX1	2.32045875684925	8.83960716789042	82.7962610653642	9.09618715111232e-20	7.22264412595784e-18	TRUE
FTH1	ENSG00000167996	FTH1	3.21255043682994	11.725114612925	82.6215280285767	9.93688946531233e-20	7.83174103043876e-18	TRUE
TREM1	ENSG00000124731	TREM1	2.66416767876544	7.89311971066214	82.4403840932132	1.08905814222232e-19	8.52027840679812e-18	TRUE
KDM3A	ENSG00000115548	KDM3A	2.45791512177953	8.19054490910866	82.414881442447	1.10320073241223e-19	8.56792393639866e-18	TRUE
LRRC25	ENSG00000175489	LRRC25	2.36204312141608	8.1407536646463	82.3296029004831	1.15184010704933e-19	8.88085415869917e-18	TRUE
LITAF	ENSG00000189067	LITAF	2.45521798181494	8.91879640460118	82.285265361156	1.17797008256623e-19	9.01697962482354e-18	TRUE
PI3	ENSG00000124102	PI3	4.03754793918029	8.25944769384993	82.2351699777073	1.20820753309235e-19	9.14865397524967e-18	TRUE
SLC43A2	ENSG00000167703	SLC43A2	2.43594627406785	8.42438265425707	82.22837452054	1.21236861890057e-19	9.14865397524967e-18	TRUE
HIVEP2	ENSG00000010818	HIVEP2	2.31689515628001	8.21446544053343	81.9470039108388	1.39785051690573e-19	1.04740348590683e-17	TRUE
HCK	ENSG00000101336	HCK	2.62187796503642	8.97165282141852	81.0066918412669	2.24954634082815e-19	1.67378832632248e-17	TRUE
CFLAR	ENSG00000003402	CFLAR	2.66125105688532	9.5087161941216	80.9640984818875	2.29855828211461e-19	1.69837917511802e-17	TRUE
RNU1-1	ENSG00000206652	RNU1-1	2.79821300448143	8.61334296272241	80.7791095875684	2.5241227593537e-19	1.83938068941694e-17	TRUE
RNU1-3	ENSG00000207513	RNU1-3	2.79821300448143	8.61334296272241	80.7791095875684	2.5241227593537e-19	1.83938068941694e-17	TRUE
NCF2	ENSG00000116701	NCF2	2.57632549150051	8.88680986512148	80.7657464404242	2.54124963669446e-19	1.83938068941694e-17	TRUE
CSRNP1	ENSG00000144655	CSRNP1	2.59540049968126	7.93176507656457	80.6377446059437	2.71130855225394e-19	1.94921101324202e-17	TRUE
DSC2	ENSG00000134755	DSC2	2.14595518408122	7.28946305961728	80.2203180087384	3.34905706955722e-19	2.39154142416704e-17	TRUE
RARA	ENSG00000131759	RARA	2.12561370345028	7.36895085616841	80.1257714916343	3.51320197656152e-19	2.49203126870764e-17	TRUE
ALOX5AP	ENSG00000132965	ALOX5AP	2.5515083558277	8.63626877430518	80.0086781735613	3.72768920165611e-19	2.62666311957755e-17	TRUE
SIGLEC10	ENSG00000142512	SIGLEC10	2.18977130511817	7.57254519004696	79.9905341841113	3.76207718393368e-19	2.63345402875357e-17	TRUE
SLC16A3	ENSG00000141526	SLC16A3	2.54145456949251	9.22896687510339	79.86244518061	4.01403970304216e-19	2.79146290459925e-17	TRUE
POLR2A	ENSG00000181222	POLR2A	2.36420581756398	8.08772505612055	79.4412840500989	4.96771468275998e-19	3.43223923536144e-17	TRUE
WDFY3	ENSG00000163625	WDFY3	2.30955463162853	8.73945379423471	79.1309902307131	5.81253686875471e-19	3.99002530861614e-17	TRUE
P4HA1	ENSG00000122884	P4HA1	2.23213505948222	7.88697874839409	79.1122891494521	5.86781902936473e-19	4.00215349182312e-17	TRUE
NUMB	ENSG00000133961	NUMB	2.26084706979144	7.86061053396282	79.0423491459004	6.07927052993819e-19	4.11996423175429e-17	TRUE
RLF	ENSG00000117000	RLF	2.15057942287244	7.80074438554187	79.0018130016817	6.20529620042506e-19	4.17875642864067e-17	TRUE
PPIF	ENSG00000108179	PPIF	2.30819945214391	7.7265553124338	78.9059078554305	6.51396662661375e-19	4.35903175516794e-17	TRUE
STXBP2	ENSG00000076944	STXBP2	2.31042915027311	7.79326761070806	78.838350273166	6.74057624980985e-19	4.47861838188639e-17	TRUE
C15orf39	ENSG00000167173	C15orf39	2.38175803269571	7.94614991570009	78.8277456353423	6.77685676206493e-19	4.47861838188639e-17	TRUE
DOK3	ENSG00000146094	DOK3	2.38782557844991	7.89373963782455	78.7900452179267	6.90742603809921e-19	4.53672920033183e-17	TRUE
BCL3	ENSG00000069399	BCL3	2.2237567822713	7.12520247631458	78.6499148343472	7.41519312688158e-19	4.8403469245411e-17	TRUE
CCDC88B	ENSG00000168071	CCDC88B	2.53606530951521	8.46180798363983	78.5464457725686	7.81392965352229e-19	5.06952509228519e-17	TRUE
HSPA1A	ENSG00000204389	HSPA1A	3.32422652939319	9.51023758865919	78.5111311442735	7.95487355722178e-19	5.12968816053574e-17	TRUE
PTPN12	ENSG00000127947	PTPN12	1.95121300275021	7.14631072511562	78.3434889754629	8.65943053048985e-19	5.55038197857904e-17	TRUE
TNFRSF14	ENSG00000157873	TNFRSF14	2.78173288760982	8.98991650785329	78.0716537613894	9.93697488397739e-19	6.33110256080955e-17	TRUE
RELT	ENSG00000054967	RELT	2.15880812223866	7.94799824645669	78.0411994328257	1.00913656753117e-18	6.39119826103076e-17	TRUE
MARCO	ENSG00000019169	MARCO	2.23507400850129	7.40961539938864	78.0017700805995	1.02948259702598e-18	6.48147623216353e-17	TRUE
TNFRSF10C	ENSG00000173535	TNFRSF10C	2.70892389392774	7.17311451484256	77.9355039980776	1.06460525400637e-18	6.66317641331044e-17	TRUE
TGM2	ENSG00000198959	TGM2	2.97783607573068	8.51164263135118	77.82572050737	1.1254507307475e-18	7.00280454687334e-17	TRUE
PLXNC1	ENSG00000136040	PLXNC1	2.33126809633134	8.75202986449876	77.6715482802835	1.21681549194307e-18	7.5272772292292e-17	TRUE
TMEM140	ENSG00000146859	TMEM140	2.57824351395698	7.67717850326691	77.5107825326972	1.31999891969169e-18	8.11837485868184e-17	TRUE
PHACTR1	ENSG00000112137	PHACTR1	2.74693824089705	7.90624712447443	77.4811701975236	1.33993821308937e-18	8.15094027077941e-17	TRUE
CD44	ENSG00000026508	CD44	2.59983808464284	9.49083963347464	77.4801725765177	1.34061517611503e-18	8.15094027077941e-17	TRUE
ARAP1	ENSG00000186635	ARAP1	2.60322179563713	9.60026524771238	77.1962153449198	1.54789874097429e-18	9.3577514795264e-17	TRUE
RNU1-4	ENSG00000207389	RNU1-4	2.64140457246483	8.49052094691529	76.9661801856271	1.73910685882639e-18	1.0395560099951e-16	TRUE
RNVU1-29	ENSG00000273768	RNVU1-29	2.64140457246483	8.49052094691529	76.9661801856271	1.73910685882639e-18	1.0395560099951e-16	TRUE
PPP1R18	ENSG00000146112	PPP1R18	2.26168497976184	8.54214763849071	76.8595127268824	1.83561923459754e-18	1.09111668469932e-16	TRUE
LCP2	ENSG00000043462	LCP2	2.49468090045032	8.91621624239009	76.1931648438569	2.57230549151394e-18	1.52051835720602e-16	TRUE
CD55	ENSG00000196352	CD55	2.29796526435538	7.79357164969909	75.9648298576665	2.88762288278712e-18	1.69747555098646e-16	TRUE
BACH1	ENSG00000156273	BACH1	2.14441513558963	8.42454384431932	75.7740693835074	3.1805046724939e-18	1.85937196238105e-16	TRUE
NCF1B	ENSG00000182487	NCF1B	2.59629050210481	7.4620185760154	75.6269135044988	3.42659020218725e-18	1.99229069679084e-16	TRUE
LPCAT1	ENSG00000153395	LPCAT1	2.42380104229615	8.20905723218386	75.5859286115493	3.49845837504089e-18	2.02302158208886e-16	TRUE
LYST	ENSG00000143669	LYST	2.45271870110837	9.24726903625507	75.3292522500901	3.98413026019772e-18	2.2914132955948e-16	TRUE
DDX60L	ENSG00000181381	DDX60L	2.35218162881333	8.56056312841483	75.3164393044348	4.01006896649754e-18	2.29393192492117e-16	TRUE
TET3	ENSG00000187605	TET3	2.15620275571897	8.0325081196634	75.1238603789265	4.42091210518398e-18	2.51542806412607e-16	TRUE
ELL	ENSG00000105656	ELL	2.27376074638068	7.53216062802703	75.0848112189442	4.50921949337988e-18	2.55202635157244e-16	TRUE
PGS1	ENSG00000087157	PGS1	2.14602283607583	7.48362008587978	75.0461114472899	4.59847757108765e-18	2.58877255853823e-16	TRUE
TLR4	ENSG00000136869	TLR4	2.21158247481286	8.43251286699339	74.8818196939806	4.99750861410532e-18	2.79860482389898e-16	TRUE
PILRA	ENSG00000085514	PILRA	2.25380191022312	7.94080419840157	74.8587516406564	5.05624304680692e-18	2.81667151926836e-16	TRUE
FCAR	ENSG00000186431	FCAR	2.57157108908954	7.37618972232492	74.7791504523917	5.26427232617723e-18	2.91728424742321e-16	TRUE
KDM4B	ENSG00000127663	KDM4B	2.37216672800559	7.73595608164966	74.6687619132555	5.5670053754758e-18	3.06906410337112e-16	TRUE
ATG16L2	ENSG00000168010	ATG16L2	2.38415454741275	8.17783443996549	74.5945530493757	5.78024670863245e-18	3.17019716390976e-16	TRUE
SLC43A3	ENSG00000134802	SLC43A3	2.3214404950858	8.16362213655378	74.3920516350013	6.40463538040692e-18	3.49463181782203e-16	TRUE
